KNr	A	B	C	Gene	Function
K00001	metabolism	general metabolism	general metabolism	E1.1.1.1, adh	alcohol dehydrogenase [EC:1.1.1.1]
K00002	multiple functions	multiple functions	multiple functions	AKR1A1, adh	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	metabolism	amino acid metabolism	general amino acid metabolism	hom	homoserine dehydrogenase [EC:1.1.1.3]
K00004	metabolism	carbohydrate metabolism	butanoate metabolism [path:ko00650]	BDH, butB	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	metabolism	general metabolism	general metabolism	gldA	glycerol dehydrogenase [EC:1.1.1.6]
K00006	multiple functions	multiple functions	multiple functions	GPD1	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007	metabolism	carbohydrate metabolism	general carbohydrate metabolism	dalD	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	metabolism	carbohydrate metabolism	general carbohydrate metabolism	SORD, gutB	L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	metabolism	carbohydrate metabolism	fructose and mannose metabolism [path:ko00051]	mtlD	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	metabolism	general metabolism	general metabolism	iolG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011	metabolism	general metabolism	general metabolism	AKR1B	aldehyde reductase [EC:1.1.1.21]
K00012	metabolism	general metabolism	general metabolism	UGDH, ugd	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	metabolism	amino acid metabolism	histidine metabolism [path:ko00340]	hisD	histidinol dehydrogenase [EC:1.1.1.23]
K00014	metabolism	amino acid metabolism	phenylalanine, tyrosine and tryptophan biosynthesis [path:ko00400]	aroE	shikimate dehydrogenase [EC:1.1.1.25]
K00015	metabolism	carbohydrate metabolism	glyoxylate and dicarboxylate metabolism [path:ko00630]	gyaR, GOR1	glyoxylate reductase [EC:1.1.1.26]
K00016	multiple functions	multiple functions	multiple functions	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]
K00018	metabolism	general metabolism	general metabolism	hprA	glycerate dehydrogenase [EC:1.1.1.29]
K00019	metabolism	general metabolism	general metabolism	E1.1.1.30, bdh	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	metabolism	amino acid metabolism	valine, leucine and isoleucine degradation [path:ko00280]	HIBADH, mmsB	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	multiple functions	multiple functions	multiple functions	HMGCR	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	metabolism	general metabolism	general metabolism	HADH	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023	metabolism	carbohydrate metabolism	general carbohydrate metabolism	phbB	acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	metabolism	general metabolism	general metabolism	mdh	malate dehydrogenase [EC:1.1.1.37]
K00025	multiple functions	multiple functions	multiple functions	MDH1	malate dehydrogenase [EC:1.1.1.37]
K00026	metabolism	general metabolism	general metabolism	MDH2	malate dehydrogenase [EC:1.1.1.37]
K00027	multiple functions	multiple functions	multiple functions	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028	metabolism	general metabolism	general metabolism	E1.1.1.39	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029	multiple functions	multiple functions	multiple functions	E1.1.1.40, maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	metabolism	carbohydrate metabolism	citrate cycle (tca cycle) [path:ko00020]	IDH3	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	multiple functions	multiple functions	multiple functions	IDH1, IDH2, icd	isocitrate dehydrogenase [EC:1.1.1.42]
K00032	metabolism	general metabolism	general metabolism	E1.1.1.43	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	metabolism	general metabolism	general metabolism	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	metabolism	carbohydrate metabolism	pentose phosphate pathway [path:ko00030]	gdh	glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	metabolism	carbohydrate metabolism	galactose metabolism [path:ko00052]	gal	D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036	multiple functions	multiple functions	multiple functions	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00037	metabolism	lipid metabolism	general lipid metabolism	AKR1C4	3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]
K00038	metabolism	lipid metabolism	steroid hormone biosynthesis [path:ko00140]	E1.1.1.53	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	metabolism	carbohydrate metabolism	pentose and glucuronate interconversions [path:ko00040]	rbtD	ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	metabolism	carbohydrate metabolism	pentose and glucuronate interconversions [path:ko00040]	uxuB	fructuronate reductase [EC:1.1.1.57]
K00041	metabolism	carbohydrate metabolism	pentose and glucuronate interconversions [path:ko00040]	uxaB	tagaturonate reductase [EC:1.1.1.58]
K00042	metabolism	carbohydrate metabolism	glyoxylate and dicarboxylate metabolism [path:ko00630]	garR, glxR	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043	metabolism	carbohydrate metabolism	butanoate metabolism [path:ko00650]	gbd	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00044	multiple functions	multiple functions	multiple functions	HSD17B1	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]
K00045	metabolism	carbohydrate metabolism	fructose and mannose metabolism [path:ko00051]	E1.1.1.67, mtlK	mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	idnO	gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048	metabolism	carbohydrate metabolism	general carbohydrate metabolism	fucO	lactaldehyde reductase [EC:1.1.1.77]
K00049	metabolism	general metabolism	general metabolism	GRHPR	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00051	metabolism	general metabolism	general metabolism	E1.1.1.82	malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00052	metabolism	general metabolism	general metabolism	leuB, IMDH	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	metabolism	general metabolism	general metabolism	ilvC	ketol-acid reductoisomerase [EC:1.1.1.86]
K00054	metabolism	metabolism of terpenoids and polyketides	terpenoid backbone biosynthesis [path:ko00900]	mvaA	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055	metabolism	general metabolism	general metabolism	E1.1.1.90	aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057	metabolism	lipid metabolism	glycerophospholipid metabolism [path:ko00564]	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058	multiple functions	multiple functions	multiple functions	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	multiple functions	multiple functions	multiple functions	fabG, OAR1	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	metabolism	amino acid metabolism	glycine, serine and threonine metabolism [path:ko00260]	tdh	threonine 3-dehydrogenase [EC:1.1.1.103]
